SA4_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
101,87,133,250,252,278,344,273,68,23,1704,33,110,186,195,486,697,572,289,73,2631,386,1314,3192,2957,3458,3532,2044,651,169,17704,3,16,59,68,87,123,168,106,35,678,495,405,1016,1045,1132,1544,1637,1294,758,9326,913,2692,10321,10988,11679,11791,8710,3715,1350,62169,0,17,525,1095,1103,1100,523,126,24,4517,0,24,365,663,830,869,313,65,14,3134,4,524,3016,3852,3573,3239,1679,579,171,16630,40,451,1638,2753,2903,2754,1485,562,173,12753,471,2188,4976,6280,6759,5260,2996,1278,321,30522,198,302,459,506,454,310,122,34,15,2397,48,156,335,587,682,727,375,149,50,3110,715,2643,5771,7376,7897,6296,3495,1459,384,36032,32,88,185,368,553,580,383,186,73,2442,1389,831,1770,2234,2538,2716,2677,2320,1124,17611,2177,4583,13272,18330,19396,17555,10553,5307,1955,93116,0,23,796,1249,1480,1325,884,225,51,6030,0,43,411,679,845,1056,572,109,18,3722,7,715,3538,4136,3890,3736,2539,851,241,19656
102,145,254,367,347,447,494,409,118,25,2610,72,190,320,478,776,1018,1001,471,137,4463,707,2321,4938,5178,5465,5347,3137,1129,341,28560,14,35,109,113,177,227,323,203,54,1248,521,544,1197,1294,1308,1577,2098,2369,1913,12816,1320,4813,15199,17208,16546,14816,11292,5821,2775,89799,0,26,569,1011,1100,961,455,164,26,4317,0,30,357,599,755,721,262,95,13,2839,8,1100,4817,5170,4195,3445,1709,810,229,21481,97,947,2958,4699,4266,3353,1999,1015,244,19578,837,3818,8756,9701,10173,7267,4758,2631,814,48754,367,500,779,727,630,494,172,85,19,3772,124,332,624,931,1108,1105,702,274,89,5286,1327,4648,10166,11361,11914,8858,5638,2981,923,57812,66,155,359,551,776,761,542,339,160,3716,2094,1196,2134,2937,3532,3625,4197,4529,2754,26997,3599,8108,21350,26325,26543,21724,14808,9932,4349,136733,3,45,984,1482,1426,1288,829,261,76,6392,7,57,467,710,768,927,488,148,38,3601,9,1368,6027,6462,4870,4425,2795,1127,320,27405
103,80,161,269,263,302,350,238,58,20,1735,43,98,214,229,423,575,519,217,67,2396,399,1527,3477,3088,3241,2962,1668,507,151,17025,14,11,36,51,81,108,155,96,30,582,514,433,981,981,1113,1231,1393,1262,685,8602,965,2917,9664,9426,9457,8568,6331,3088,1178,51593,0,16,279,528,542,568,258,68,19,2281,0,12,228,358,489,468,157,48,4,1773,7,710,3075,3081,2375,2158,988,394,117,12891,44,392,1340,2122,2297,2032,1106,463,113,9903,581,2712,5735,5982,5973,4222,2289,1029,228,28750,227,373,540,494,439,318,116,31,6,2558,67,176,337,557,640,598,329,106,40,2857,871,3263,6613,7038,7061,5142,2724,1170,267,34164,33,104,168,315,534,523,335,167,65,2234,1518,1085,1830,2178,2298,2538,2552,2198,908,17097,2473,5582,13537,15616,15591,13427,8118,4505,1499,80353,0,14,550,751,688,708,435,113,20,3283,0,39,331,468,487,589,322,74,21,2323,8,756,3719,3585,2773,2432,1532,516,166,15479
104,88,93,185,170,175,257,195,56,17,1223,33,65,127,171,273,434,427,216,48,1779,295,930,2068,2076,2302,2501,1501,486,104,12264,0,15,42,40,58,73,114,74,16,433,346,263,719,723,751,895,1054,986,678,6408,658,1652,5791,6496,6951,7147,5631,2559,1018,37892,0,4,143,332,361,429,197,67,13,1547,0,13,112,269,338,408,126,26,6,1291,0,335,1597,2088,1984,1944,804,351,83,9190,28,250,802,1451,1793,1692,932,354,79,7385,336,1296,2943,3725,4776,3889,2159,1007,264,20390,168,244,324,308,366,246,89,31,3,1780,62,124,236,308,475,531,242,98,41,2124,568,1656,3506,4340,5612,4664,2488,1147,314,24289,24,41,124,222,354,422,299,144,48,1680,844,473,874,1144,1436,1584,1675,1673,972,10679,1465,2777,7152,9848,11879,11146,6525,3766,1511,56065,0,10,245,415,469,487,381,101,28,2137,0,13,162,272,363,530,258,68,14,1663,0,371,1967,2469,2025,2395,1345,444,147,11163
105,45,83,188,116,150,184,105,35,3,904,19,40,102,107,190,269,208,98,16,1057,204,652,1768,1483,1569,1531,819,255,34,8313,0,8,40,27,39,55,52,37,22,277,405,383,957,917,885,967,927,825,464,6728,620,1562,5947,5040,4688,4505,2956,1551,635,27498,0,7,184,214,233,175,55,26,3,902,0,10,129,210,236,203,53,10,0,856,0,398,1871,1553,1195,965,350,131,38,6505,4,197,700,1069,1178,840,422,181,40,4632,313,1415,2902,3112,3305,2362,1219,483,107,15220,132,218,345,283,233,158,43,12,3,1427,33,114,184,301,315,266,136,46,19,1408,478,1737,3431,3687,3859,2787,1400,543,128,18059,20,47,99,147,261,272,140,74,20,1081,969,663,1222,1375,1586,1560,1652,1491,615,11132,1480,3067,7643,8260,8551,6806,4067,2445,845,43159,0,15,383,342,271,236,102,23,7,1368,0,16,204,226,234,254,100,13,0,1034,0,406,2202,1721,1302,1103,566,186,67,7543
106,142,300,470,412,418,427,297,71,13,2555,67,151,333,358,613,826,668,284,73,3376,700,2449,6036,5219,5098,4458,2269,697,156,27076,8,24,65,81,87,141,188,93,41,728,476,479,1087,1040,1117,1282,1547,1416,807,9254,1252,4175,13682,13329,12338,10955,7786,3484,1287,68283,0,16,325,566,628,539,232,59,5,2378,0,10,216,425,510,424,142,26,3,1760,5,787,3341,3231,2525,2359,1181,369,90,13887,60,611,2138,3039,2940,2452,1240,451,114,13056,688,3829,8586,8890,8412,5865,3304,1389,305,41265,246,431,713,625,545,343,130,44,6,3078,83,198,483,648,747,719,442,161,53,3532,1013,4457,9784,10162,9705,6919,3882,1591,365,47878,25,101,239,342,538,554,367,187,53,2408,1691,1048,2028,2525,2709,2908,2743,2417,1083,19158,2800,7040,18074,20289,19552,16152,9783,5106,1719,100523,0,24,609,772,781,718,435,119,20,3477,0,27,299,465,497,618,290,71,16,2271,6,777,3742,3806,2801,2818,1834,613,156,16544
107,149,234,321,334,401,476,278,84,28,2302,66,170,264,405,818,1042,813,352,128,4051,635,2248,4410,4338,4708,4323,2255,788,257,23963,12,37,90,98,132,202,216,117,37,943,478,566,1117,1027,1009,1141,1280,1432,1139,9191,1238,5689,16733,16108,14677,12604,8581,3902,1826,81353,0,171,1690,1714,1688,1348,497,114,30,7258,0,89,619,666,817,788,187,56,6,3228,21,2113,6261,5605,4305,3133,1350,492,142,23433,123,1330,3069,4316,3868,2917,1360,567,170,17713,727,3580,8081,8466,8768,5999,3504,1939,520,41591,267,429,700,568,550,329,171,60,13,3088,79,282,553,849,998,832,479,210,59,4334,1077,4290,9329,9885,10320,7165,4157,2202,600,49020,57,171,307,474,659,621,430,221,78,3015,1624,1288,2013,2237,2713,2842,2813,3067,1283,19874,2901,9447,23288,24897,24373,18809,10806,6724,2303,123537,0,144,2320,2431,1980,1777,945,231,42,9873,9,102,842,912,807,1022,427,121,23,4277,13,2636,7641,6802,4788,4128,2199,767,211,29181
108,92,150,295,251,319,464,394,107,24,2097,34,97,142,225,453,764,835,372,126,3049,451,1347,3100,3090,3761,4449,2854,937,268,20244,14,18,44,53,75,171,244,151,55,821,549,372,895,924,1062,1578,1981,1926,1260,10544,1038,2414,7819,8799,10034,11751,9723,4792,2010,58380,0,4,168,365,433,512,262,88,16,1855,0,10,125,353,478,540,211,64,10,1784,7,345,1691,2517,2432,2560,1433,598,149,11722,33,276,1127,2083,2592,2630,1749,773,174,11441,482,1908,4224,5713,7167,5967,4205,2136,547,32345,216,332,521,485,512,365,175,50,8,2668,72,154,342,490,729,770,534,220,65,3378,767,2393,5088,6685,8412,7101,4903,2407,616,38393,29,55,168,280,545,640,514,282,92,2616,1312,709,1197,1702,2297,2750,3249,3397,1926,18529,2146,3806,9556,13986,17185,16732,12331,7607,2985,86337,0,11,358,526,547,676,503,147,21,2806,4,17,207,339,445,691,422,117,24,2267,4,395,2219,2817,2600,3045,2238,817,243,14388
109,42,91,163,117,155,177,104,29,3,878,17,41,80,123,201,273,221,92,32,1080,161,789,1822,1591,1819,1761,1032,283,84,9338,0,6,24,32,27,57,67,51,20,288,324,253,594,616,621,841,956,892,440,5548,505,1616,5441,5540,5247,5200,3759,1908,680,29896,0,5,257,261,287,202,85,20,6,1125,0,13,171,300,327,267,77,14,6,1178,0,399,1956,1789,1426,1134,501,167,57,7424,21,278,915,1140,1276,1127,623,257,54,5700,340,1489,2980,3210,3412,2592,1438,677,137,16273,132,220,301,236,240,177,41,16,6,1367,29,88,161,261,299,273,134,49,14,1310,504,1798,3441,3705,3950,3043,1613,744,156,18941,22,47,98,152,250,268,192,73,35,1127,803,427,741,991,1259,1423,1579,1501,842,9559,1343,2972,7577,8337,8769,7452,4673,2777,1150,45050,0,20,319,415,346,303,150,42,7,1612,3,17,235,283,336,351,161,17,6,1406,0,416,2117,2119,1480,1347,770,271,69,8589
110,115,145,270,221,256,293,187,61,11,1549,42,89,151,191,348,456,421,196,57,1956,452,1268,2795,2585,2612,2578,1457,469,106,14325,14,14,58,40,43,77,116,75,15,458,771,639,1211,1138,1218,1395,1410,1275,670,9721,1273,2719,8386,8117,7926,7777,5604,2916,1087,45809,0,21,344,541,631,588,310,87,28,2538,0,26,259,413,419,427,124,28,13,1713,3,646,2674,2593,2179,2022,878,316,123,11435,29,357,1174,1925,2052,1619,952,366,84,8563,561,2130,4547,4664,5160,3851,2044,774,170,23899,189,392,490,432,350,262,116,26,6,2270,81,159,304,447,541,518,275,98,29,2458,826,2685,5338,5540,6060,4634,2435,888,208,28622,39,87,158,236,437,464,334,132,52,1930,1351,846,1480,1868,2066,2174,2328,2074,931,15124,2250,4664,11432,13117,13840,11930,7358,3885,1437,69916,4,21,628,776,762,680,428,148,41,3492,0,20,318,385,454,496,232,70,14,1991,5,702,3167,3017,2362,2175,1357,475,135,13396
