SA4_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
101,3,118,0,118,..,294,55,350,3,351,..,82,8,93,0,93,..,210,58,266,0,272,..,2238,245,2487,46,2535,..,14754,1673,16422,207,16627,..,646,68,717,15164,15888,206290,15401,1739,17144,15372,238810
102,10,195,6,196,..,627,139,766,5,772,..,147,14,164,0,164,..,388,95,482,3,488,..,3687,429,4123,131,4247,..,21476,2841,24314,324,24646,..,1081,117,1198,16744,17939,304010,22559,2956,25514,17070,346596
103,9,166,4,165,..,187,83,270,0,275,..,32,6,40,0,40,..,177,48,225,4,224,..,1611,193,1806,55,1860,..,8340,1052,9392,154,9544,..,496,42,540,15177,15717,187700,8839,1094,9933,15326,212962
104,0,28,0,28,..,160,31,191,6,194,..,19,0,19,0,18,..,95,27,117,3,117,..,2098,740,2839,64,2902,..,7438,1623,9063,147,9209,..,433,62,494,9816,10311,126613,7870,1689,9556,9965,146127
105,15,95,4,102,..,73,18,88,0,91,..,6,0,6,0,6,..,76,21,94,0,98,..,996,83,1083,25,1103,..,5388,539,5929,78,6008,..,343,30,375,13232,13603,95955,5737,571,6303,13304,115566
106,13,113,3,119,..,384,104,490,0,491,..,44,12,57,0,57,..,228,127,362,0,363,..,1976,310,2287,66,2350,..,10211,1479,11687,145,11833,..,717,57,776,15224,15996,264108,10929,1535,12465,15367,291946
107,10,232,0,236,..,616,160,768,8,780,..,1032,255,1286,8,1293,..,986,321,1304,7,1310,..,4304,789,5098,99,5192,..,35630,6352,41989,382,42361,..,1051,155,1202,12996,14203,257269,36686,6503,43186,13381,313842
108,12,60,3,63,..,243,44,290,0,297,..,38,6,50,0,50,..,149,42,189,0,190,..,1526,172,1699,53,1755,..,7008,779,7793,120,7912,..,608,50,656,14371,15029,206095,7616,833,8450,14492,229035
109,6,72,0,78,..,134,25,160,0,160,..,13,8,20,0,20,..,102,25,128,0,127,..,1054,209,1262,37,1299,..,5791,1055,6843,108,6950,..,315,55,365,8816,9177,107423,6103,1111,7210,8922,123552
110,4,77,0,80,..,137,28,172,4,172,..,28,3,26,0,31,..,334,176,512,0,517,..,1964,437,2404,57,2458,..,7889,1330,9218,143,9365,..,548,76,621,17131,17752,158447,8440,1398,9837,17269,185560
111,9,398,3,404,..,537,149,686,0,694,..,103,14,122,0,121,..,693,226,921,14,932,..,4290,681,4970,142,5108,..,25299,3652,28950,372,29322,..,1167,137,1308,15341,16651,344550,26464,3789,30259,15714,390519
112,7,46,0,52,..,463,64,520,0,520,..,44,0,44,6,49,..,187,46,234,4,236,..,2397,255,2647,64,2708,..,12460,1067,13520,186,13712,..,785,54,839,18548,19384,223964,13238,1118,14362,18738,257061
113,11,193,4,188,..,163,52,213,0,216,..,61,48,104,0,104,..,134,30,160,0,160,..,2914,823,3739,63,3798,..,12611,2901,15515,189,15700,..,490,64,560,11621,12175,135786,13106,2963,16070,11803,163656
114,3,62,0,63,..,218,59,279,0,279,..,47,10,55,0,55,..,124,34,159,6,163,..,1314,155,1465,38,1504,..,7969,884,8846,121,8976,..,408,40,446,9472,9915,142120,8375,917,9296,9592,161006
115,111,3513,26,3541,..,379,71,453,4,455,..,489,56,546,0,552,..,742,117,860,4,865,..,6260,552,6813,167,6976,..,78834,10453,89289,783,90072,..,1009,152,1154,6653,7807,166485,79846,10599,90444,7438,264371
116,717,8408,100,8508,..,618,147,775,12,781,..,1969,534,2501,21,2524,..,1110,395,1503,9,1515,..,21586,3625,25208,536,25749,..,164061,20661,184724,1863,186579,..,2460,572,3034,21541,24576,189840,166522,21231,187758,23397,400997
117,17,608,7,619,..,4781,2066,6845,39,6884,..,1292,295,1589,11,1598,..,3970,1413,5383,36,5422,..,7204,1080,8290,191,8475,..,97474,17566,115043,933,115981,..,1475,364,1842,19745,21584,193782,98954,17928,116883,20676,331340
118,5,260,4,261,..,693,137,832,4,830,..,380,50,433,8,437,..,812,120,929,3,934,..,6410,462,6871,126,6994,..,54436,5812,60253,510,60760,..,1000,105,1103,14098,15202,185450,55440,5918,61352,14605,261410
119,66,986,13,995,..,2183,629,2813,31,2843,..,1538,310,1848,10,1854,..,18380,9077,27452,190,27642,..,13263,3007,16269,494,16765,..,274089,68248,342337,2904,345241,..,3612,993,4603,33921,38527,221348,277704,69236,346941,36824,605118
120,191,3132,27,3165,..,1295,497,1795,13,1811,..,967,151,1120,12,1131,..,3626,727,4357,31,4382,..,6855,906,7759,235,7995,..,102971,21895,124864,1070,125936,..,1363,328,1689,12395,14079,164752,104330,22222,126553,13466,304771
121,34,1607,11,1611,..,1575,378,1951,3,1954,..,453,28,479,0,482,..,1438,220,1656,13,1673,..,8127,811,8941,272,9210,..,116283,18331,134610,1287,135902,..,1499,239,1733,11983,13720,274429,117778,18569,136351,13272,424045
